,level_0,index,Unnamed: 0,latitude,longitude
248,248,503,503,33.5102 ,36.29128
249,249,504,504,8.5 ,-11.5
250,250,507,507,33.7208 ,-117.75168
251,251,508,508,40.558449 ,-8.413426
252,252,512,512,52.845879 ,8.040395
253,253,513,513,49.474632 ,8.509317
254,254,515,515,52.388861 ,9.749965
255,255,520,520,46.762732 ,-56.177695
256,256,522,522,38.46806 ,106.27306
257,257,526,526,52.079298 ,4.354722
258,258,529,529,48.944688 ,8.381103
259,259,535,535,35.679283 ,139.80956
260,260,538,538,53.540602 ,14.552663
261,261,539,539,36.168268 ,-86.779651
262,262,541,541,13.007822 ,77.564494
263,263,549,549,30.632654 ,-88.073234
264,264,550,550,-26.672146 ,153.096088
265,265,554,554,35.609479 ,140.305566
266,266,561,561,8.5 ,-11.5
267,267,567,567,34.23314 ,-102.41075
268,268,570,570,8.5 ,-11.5
269,269,575,575,37.942583 ,23.645261
270,270,576,576,13.042322 ,77.529426
271,271,581,581,13.16667 ,-59.53333
272,272,587,587,46 ,2
273,273,589,589,58.555202 ,26.712397
274,274,590,590,43.233655 ,-2.764133
275,275,591,591,-0.279479 ,-78.467519
276,276,593,593,53.785571 ,-3.046295
277,277,596,596,50.658549 ,6.694074
278,278,597,597,36.052257 ,-102.002399
279,279,599,599,22 ,-102.5
280,280,600,600,40 ,-4
281,281,603,603,51.537422 ,-0.061001
282,282,614,614,37.540601 ,-5.079589
283,283,615,615,42.83333 ,12.83333
284,284,622,622,49.60241 ,2.80102
285,285,625,625,60.165103 ,24.93999
286,286,626,626,49.459294 ,9.889831
287,287,628,628,46.263781 ,8.696755
288,288,634,634,8.5 ,-11.5
289,289,635,635,50.178288 ,8.918453
290,290,638,638,48.09918 ,-0.79292
291,291,641,641,43.36662 ,-5.86112
292,292,643,643,51.068049 ,13.779595
293,293,644,644,46.06085 ,13.23401
294,294,647,647,29.961078 ,-81.340501
295,295,649,649,36.718612 ,-4.496911
296,296,652,652,54.155568 ,38.1775
297,297,653,653,41.311421 ,19.446037
298,298,655,655,28.486359 ,-16.317929
299,299,656,656,41.648971 ,-4.713868
300,300,659,659,25.54389 ,-103.41898
301,301,661,661,8.5 ,-11.5
302,302,662,662,-7.437889 ,-70.028143
303,303,664,664,38.46806 ,106.27306
304,304,666,666,48.841691 ,2.242722
305,305,669,669,-38.65333 ,178.00417
306,306,674,674,-34.89478 ,-56.192477
307,307,676,676,40.91534 ,-81.10593
308,308,677,677,-15.763386 ,-47.88108
309,309,680,680,25 ,45
310,310,682,682,40 ,-4
311,311,685,685,-37.7 ,145.18333
312,312,686,686,41.94514 ,25.07868
313,313,687,687,45.5867 ,5.16286
314,314,689,689,-26.828806 ,-65.208318
315,315,692,692,54.326624 ,10.105359
316,316,693,693,18.596157 ,73.687473
317,317,694,694,52.507568 ,13.391332
318,318,695,695,12.832143 ,80.223782
319,319,697,697,48.555132 ,12.743875
